"Balancing Authority","Local Time at End of Hour","UTC Time at End of Hour","Demand Forecast (MW)","Demand (MW)","Net Generation (MW)","Total Interchange (MW)","Sum(Valid DIBAs) (MW)","Demand (MW) (Imputed)","Net Generation (MW) (Imputed)","Total Interchange (MW) (Imputed)","Demand (MW) (Adjusted)","Net Generation (MW) (Adjusted)","Total Interchange (MW) (Adjusted)","Region"
AECI,05/18/2025 7:00:00 PM,05/19/2025 12:00:00 AM,2383,2406,2421,15,15,,,,2406,2421,15,MIDW
AECI,05/18/2025 8:00:00 PM,05/19/2025 1:00:00 AM,2320,2356,2503,147,147,,,,2356,2503,147,MIDW
AECI,05/18/2025 9:00:00 PM,05/19/2025 2:00:00 AM,2270,2320,2638,318,318,,,,2320,2638,318,MIDW
AECI,05/18/2025 10:00:00 PM,05/19/2025 3:00:00 AM,2183,2233,2540,307,307,,,,2233,2540,307,MIDW
AECI,05/18/2025 11:00:00 PM,05/19/2025 4:00:00 AM,1993,2028,2341,313,313,,,,2028,2341,313,MIDW
AECI,05/19/2025 12:00:00 AM,05/19/2025 5:00:00 AM,1779,1824,2082,258,258,,,,1824,2082,258,MIDW
AECI,05/19/2025 1:00:00 AM,05/19/2025 6:00:00 AM,1632,1699,1784,85,85,,,,1699,1784,85,MIDW
AECI,05/19/2025 2:00:00 AM,05/19/2025 7:00:00 AM,1552,1624,1617,-7,-7,,,,1624,1617,-7,MIDW
AECI,05/19/2025 3:00:00 AM,05/19/2025 8:00:00 AM,1518,1540,1587,47,47,,,,1540,1587,47,MIDW
AECI,05/19/2025 4:00:00 AM,05/19/2025 9:00:00 AM,1503,1529,1479,-50,-50,,,,1529,1479,-50,MIDW
AECI,05/19/2025 5:00:00 AM,05/19/2025 10:00:00 AM,1523,1548,1464,-84,-84,,,,1548,1464,-84,MIDW
AECI,05/19/2025 6:00:00 AM,05/19/2025 11:00:00 AM,1617,1665,1634,-31,-31,,,,1665,1634,-31,MIDW
AECI,05/19/2025 7:00:00 AM,05/19/2025 12:00:00 PM,1791,1852,1822,-30,-30,,,,1852,1822,-30,MIDW
AECI,05/19/2025 8:00:00 AM,05/19/2025 1:00:00 PM,1898,1975,1979,4,4,,,,1975,1979,4,MIDW
AECI,05/19/2025 9:00:00 AM,05/19/2025 2:00:00 PM,1975,2015,2012,-3,-3,,,,2015,2012,-3,MIDW
AECI,05/19/2025 10:00:00 AM,05/19/2025 3:00:00 PM,2085,2109,1950,-159,-159,,,,2109,1950,-159,MIDW
AECI,05/19/2025 11:00:00 AM,05/19/2025 4:00:00 PM,2162,2218,2150,-68,-68,,,,2218,2150,-68,MIDW
AECI,05/19/2025 12:00:00 PM,05/19/2025 5:00:00 PM,2260,2281,2014,-267,-267,,,,2281,2014,-267,MIDW
AECI,05/19/2025 1:00:00 PM,05/19/2025 6:00:00 PM,2327,2371,2073,-298,-298,,,,2371,2073,-298,MIDW
AECI,05/19/2025 2:00:00 PM,05/19/2025 7:00:00 PM,2385,2427,2176,-251,-251,,,,2427,2176,-251,MIDW
AECI,05/19/2025 3:00:00 PM,05/19/2025 8:00:00 PM,2432,2474,2425,-49,-49,,,,2474,2425,-49,MIDW
AECI,05/19/2025 4:00:00 PM,05/19/2025 9:00:00 PM,2470,2490,2416,-74,-74,,,,2490,2416,-74,MIDW
AECI,05/19/2025 5:00:00 PM,05/19/2025 10:00:00 PM,2540,2507,2685,178,178,,,,2507,2685,178,MIDW
AECI,05/19/2025 6:00:00 PM,05/19/2025 11:00:00 PM,2554,2534,2824,290,290,,,,2534,2824,290,MIDW
AECI,05/19/2025 7:00:00 PM,05/20/2025 12:00:00 AM,2537,2519,2827,308,308,,,,2519,2827,308,MIDW
AECI,05/19/2025 8:00:00 PM,05/20/2025 1:00:00 AM,2436,2391,2629,238,238,,,,2391,2629,238,MIDW
AECI,05/19/2025 9:00:00 PM,05/20/2025 2:00:00 AM,2365,2330,2608,278,278,,,,2330,2608,278,MIDW
AECI,05/19/2025 10:00:00 PM,05/20/2025 3:00:00 AM,2228,2194,2554,360,360,,,,2194,2554,360,MIDW
AECI,05/19/2025 11:00:00 PM,05/20/2025 4:00:00 AM,1978,1984,2370,386,386,,,,1984,2370,386,MIDW
AECI,05/20/2025 12:00:00 AM,05/20/2025 5:00:00 AM,1748,1795,1985,190,190,,,,1795,1985,190,MIDW
AECI,05/20/2025 1:00:00 AM,05/20/2025 6:00:00 AM,1624,1670,1659,-11,-11,,,,1670,1659,-11,MIDW
AECI,05/20/2025 2:00:00 AM,05/20/2025 7:00:00 AM,1549,1569,1592,23,23,,,,1569,1592,23,MIDW
AECI,05/20/2025 3:00:00 AM,05/20/2025 8:00:00 AM,1493,1496,1582,86,86,,,,1496,1582,86,MIDW
AECI,05/20/2025 4:00:00 AM,05/20/2025 9:00:00 AM,1469,1443,1541,98,98,,,,1443,1541,98,MIDW
AECI,05/20/2025 5:00:00 AM,05/20/2025 10:00:00 AM,1491,1459,1565,106,106,,,,1459,1565,106,MIDW
AECI,05/20/2025 6:00:00 AM,05/20/2025 11:00:00 AM,1562,1515,1806,291,291,,,,1515,1806,291,MIDW
AECI,05/20/2025 7:00:00 AM,05/20/2025 12:00:00 PM,1710,1678,2033,355,355,,,,1678,2033,355,MIDW
AECI,05/20/2025 8:00:00 AM,05/20/2025 1:00:00 PM,1777,1765,2227,462,462,,,,1765,2227,462,MIDW
AECI,05/20/2025 9:00:00 AM,05/20/2025 2:00:00 PM,1756,1832,2519,687,687,,,,1832,2519,687,MIDW
AECI,05/20/2025 10:00:00 AM,05/20/2025 3:00:00 PM,1804,1876,2727,851,851,,,,1876,2727,851,MIDW
AECI,05/20/2025 11:00:00 AM,05/20/2025 4:00:00 PM,1886,1951,2815,864,864,,,,1951,2815,864,MIDW
AECI,05/20/2025 12:00:00 PM,05/20/2025 5:00:00 PM,1950,2016,3017,1001,1001,,,,2016,3017,1001,MIDW
AECI,05/20/2025 1:00:00 PM,05/20/2025 6:00:00 PM,2019,2059,3112,1053,1053,,,,2059,3112,1053,MIDW
AECI,05/20/2025 2:00:00 PM,05/20/2025 7:00:00 PM,2094,2179,3179,1000,1000,,,,2179,3179,1000,MIDW
AECI,05/20/2025 3:00:00 PM,05/20/2025 8:00:00 PM,2145,2239,3198,959,959,,,,2239,3198,959,MIDW
AECI,05/20/2025 4:00:00 PM,05/20/2025 9:00:00 PM,2214,2321,3113,792,792,,,,2321,3113,792,MIDW
AECI,05/20/2025 5:00:00 PM,05/20/2025 10:00:00 PM,2322,2380,3082,702,702,,,,2380,3082,702,MIDW
AECI,05/20/2025 6:00:00 PM,05/20/2025 11:00:00 PM,2396,2401,2955,554,554,,,,2401,2955,554,MIDW
AECI,05/20/2025 7:00:00 PM,05/21/2025 12:00:00 AM,2391,2368,3029,661,661,,,,2368,3029,661,MIDW
AECI,05/20/2025 8:00:00 PM,05/21/2025 1:00:00 AM,2296,2262,2978,716,716,,,,2262,2978,716,MIDW
AECI,05/20/2025 9:00:00 PM,05/21/2025 2:00:00 AM,2223,2169,2961,792,792,,,,2169,2961,792,MIDW
AECI,05/20/2025 10:00:00 PM,05/21/2025 3:00:00 AM,2097,2092,2898,806,806,,,,2092,2898,806,MIDW
AECI,05/20/2025 11:00:00 PM,05/21/2025 4:00:00 AM,1854,1854,2735,881,881,,,,1854,2735,881,MIDW
AECI,05/21/2025 12:00:00 AM,05/21/2025 5:00:00 AM,1669,1655,2668,1013,1013,,,,1655,2668,1013,MIDW
AECI,05/21/2025 1:00:00 AM,05/21/2025 6:00:00 AM,1532,1512,2448,936,936,,,,1512,2448,936,MIDW
AECI,05/21/2025 2:00:00 AM,05/21/2025 7:00:00 AM,1453,1433,2338,905,905,,,,1433,2338,905,MIDW
AECI,05/21/2025 3:00:00 AM,05/21/2025 8:00:00 AM,1408,1407,2276,869,869,,,,1407,2276,869,MIDW
AECI,05/21/2025 4:00:00 AM,05/21/2025 9:00:00 AM,1394,1401,2223,822,822,,,,1401,2223,822,MIDW
AECI,05/21/2025 5:00:00 AM,05/21/2025 10:00:00 AM,1433,1441,2183,742,742,,,,1441,2183,742,MIDW
AECI,05/21/2025 6:00:00 AM,05/21/2025 11:00:00 AM,1539,1515,2185,670,670,,,,1515,2185,670,MIDW
AECI,05/21/2025 7:00:00 AM,05/21/2025 12:00:00 PM,1715,1702,2477,775,775,,,,1702,2477,775,MIDW
AECI,05/21/2025 8:00:00 AM,05/21/2025 1:00:00 PM,1796,1802,2765,963,963,,,,1802,2765,963,MIDW
AECI,05/21/2025 9:00:00 AM,05/21/2025 2:00:00 PM,1807,1805,2954,1149,1149,,,,1805,2954,1149,MIDW
AECI,05/21/2025 10:00:00 AM,05/21/2025 3:00:00 PM,1836,1852,2776,924,924,,,,1852,2776,924,MIDW
AECI,05/21/2025 11:00:00 AM,05/21/2025 4:00:00 PM,1891,1863,2722,859,859,,,,1863,2722,859,MIDW
AECI,05/21/2025 12:00:00 PM,05/21/2025 5:00:00 PM,1933,1912,2874,962,962,,,,1912,2874,962,MIDW
AECI,05/21/2025 1:00:00 PM,05/21/2025 6:00:00 PM,1990,1967,2874,907,907,,,,1967,2874,907,MIDW
AECI,05/21/2025 2:00:00 PM,05/21/2025 7:00:00 PM,2080,2068,2851,783,783,,,,2068,2851,783,MIDW
AECI,05/21/2025 3:00:00 PM,05/21/2025 8:00:00 PM,2163,2193,2672,479,479,,,,2193,2672,479,MIDW
AECI,05/21/2025 4:00:00 PM,05/21/2025 9:00:00 PM,2244,2282,2780,498,498,,,,2282,2780,498,MIDW
AECI,05/21/2025 5:00:00 PM,05/21/2025 10:00:00 PM,2368,2415,2971,556,556,,,,2415,2971,556,MIDW
AECI,05/21/2025 6:00:00 PM,05/21/2025 11:00:00 PM,2460,2494,2958,464,464,,,,2494,2958,464,MIDW
AECI,05/21/2025 7:00:00 PM,05/22/2025 12:00:00 AM,2467,2443,2899,456,456,,,,2443,2899,456,MIDW
AECI,05/21/2025 8:00:00 PM,05/22/2025 1:00:00 AM,2391,2327,2808,481,481,,,,2327,2808,481,MIDW
AECI,05/21/2025 9:00:00 PM,05/22/2025 2:00:00 AM,2297,2240,2775,535,535,,,,2240,2775,535,MIDW
AECI,05/21/2025 10:00:00 PM,05/22/2025 3:00:00 AM,2149,2172,2852,680,680,,,,2172,2852,680,MIDW
AECI,05/21/2025 11:00:00 PM,05/22/2025 4:00:00 AM,1911,1929,2728,799,799,,,,1929,2728,799,MIDW
AECI,05/22/2025 12:00:00 AM,05/22/2025 5:00:00 AM,1699,1710,2414,704,704,,,,1710,2414,704,MIDW
AECI,05/22/2025 1:00:00 AM,05/22/2025 6:00:00 AM,1569,1546,2206,660,660,,,,1546,2206,660,MIDW
AECI,05/22/2025 2:00:00 AM,05/22/2025 7:00:00 AM,1490,1476,2012,536,536,,,,1476,2012,536,MIDW
AECI,05/22/2025 3:00:00 AM,05/22/2025 8:00:00 AM,1453,1444,1878,434,434,,,,1444,1878,434,MIDW
AECI,05/22/2025 4:00:00 AM,05/22/2025 9:00:00 AM,1440,1432,1878,446,446,,,,1432,1878,446,MIDW
AECI,05/22/2025 5:00:00 AM,05/22/2025 10:00:00 AM,1478,1473,1995,522,522,,,,1473,1995,522,MIDW
AECI,05/22/2025 6:00:00 AM,05/22/2025 11:00:00 AM,1577,1538,2278,740,740,,,,1538,2278,740,MIDW
AECI,05/22/2025 7:00:00 AM,05/22/2025 12:00:00 PM,1749,1704,2348,644,644,,,,1704,2348,644,MIDW
AECI,05/22/2025 8:00:00 AM,05/22/2025 1:00:00 PM,1825,1760,2368,608,608,,,,1760,2368,608,MIDW
AECI,05/22/2025 9:00:00 AM,05/22/2025 2:00:00 PM,1813,1842,2446,604,604,,,,1842,2446,604,MIDW
AECI,05/22/2025 10:00:00 AM,05/22/2025 3:00:00 PM,1813,1894,2597,703,703,,,,1894,2597,703,MIDW
AECI,05/22/2025 11:00:00 AM,05/22/2025 4:00:00 PM,1887,1951,2669,718,718,,,,1951,2669,718,MIDW
AECI,05/22/2025 12:00:00 PM,05/22/2025 5:00:00 PM,1965,1966,2753,787,787,,,,1966,2753,787,MIDW
AECI,05/22/2025 1:00:00 PM,05/22/2025 6:00:00 PM,2016,2004,2854,850,850,,,,2004,2854,850,MIDW
AECI,05/22/2025 2:00:00 PM,05/22/2025 7:00:00 PM,2069,2050,2860,810,810,,,,2050,2860,810,MIDW
AECI,05/22/2025 3:00:00 PM,05/22/2025 8:00:00 PM,2091,2131,2954,823,823,,,,2131,2954,823,MIDW
AECI,05/22/2025 4:00:00 PM,05/22/2025 9:00:00 PM,2145,2191,2999,808,808,,,,2191,2999,808,MIDW
AECI,05/22/2025 5:00:00 PM,05/22/2025 10:00:00 PM,2219,2220,3065,845,845,,,,2220,3065,845,MIDW
AECI,05/22/2025 6:00:00 PM,05/22/2025 11:00:00 PM,2282,2264,2910,646,646,,,,2264,2910,646,MIDW
AECI,05/22/2025 7:00:00 PM,05/23/2025 12:00:00 AM,2269,2281,2992,711,711,,,,2281,2992,711,MIDW
AECI,05/22/2025 8:00:00 PM,05/23/2025 1:00:00 AM,2196,2186,2933,747,747,,,,2186,2933,747,MIDW
AECI,05/22/2025 9:00:00 PM,05/23/2025 2:00:00 AM,2159,2148,2881,733,733,,,,2148,2881,733,MIDW
AECI,05/22/2025 10:00:00 PM,05/23/2025 3:00:00 AM,2074,2118,2903,785,785,,,,2118,2903,785,MIDW
AECI,05/22/2025 11:00:00 PM,05/23/2025 4:00:00 AM,1879,1913,2613,700,700,,,,1913,2613,700,MIDW
AECI,05/23/2025 12:00:00 AM,05/23/2025 5:00:00 AM,1706,1658,2262,604,604,,,,1658,2262,604,MIDW
AECI,05/23/2025 1:00:00 AM,05/23/2025 6:00:00 AM,1569,1578,2229,651,651,,,,1578,2229,651,MIDW
AECI,05/23/2025 2:00:00 AM,05/23/2025 7:00:00 AM,1492,1488,2012,524,524,,,,1488,2012,524,MIDW
AECI,05/23/2025 3:00:00 AM,05/23/2025 8:00:00 AM,1460,1456,1935,479,479,,,,1456,1935,479,MIDW
AECI,05/23/2025 4:00:00 AM,05/23/2025 9:00:00 AM,1456,1457,1889,432,432,,,,1457,1889,432,MIDW
AECI,05/23/2025 5:00:00 AM,05/23/2025 10:00:00 AM,1493,1458,2105,647,647,,,,1458,2105,647,MIDW
AECI,05/23/2025 6:00:00 AM,05/23/2025 11:00:00 AM,1577,1569,2295,726,726,,,,1569,2295,726,MIDW
AECI,05/23/2025 7:00:00 AM,05/23/2025 12:00:00 PM,1739,1716,2324,608,608,,,,1716,2324,608,MIDW
AECI,05/23/2025 8:00:00 AM,05/23/2025 1:00:00 PM,1821,1822,2342,520,520,,,,1822,2342,520,MIDW
AECI,05/23/2025 9:00:00 AM,05/23/2025 2:00:00 PM,1829,1870,2454,584,584,,,,1870,2454,584,MIDW
AECI,05/23/2025 10:00:00 AM,05/23/2025 3:00:00 PM,1864,1858,2505,647,647,,,,1858,2505,647,MIDW
AECI,05/23/2025 11:00:00 AM,05/23/2025 4:00:00 PM,1894,1872,2385,513,513,,,,1872,2385,513,MIDW
AECI,05/23/2025 12:00:00 PM,05/23/2025 5:00:00 PM,1901,1896,2526,630,630,,,,1896,2526,630,MIDW
AECI,05/23/2025 1:00:00 PM,05/23/2025 6:00:00 PM,1922,1936,2560,624,624,,,,1936,2560,624,MIDW
AECI,05/23/2025 2:00:00 PM,05/23/2025 7:00:00 PM,1979,1992,2597,605,605,,,,1992,2597,605,MIDW
AECI,05/23/2025 3:00:00 PM,05/23/2025 8:00:00 PM,2043,2072,2548,476,476,,,,2072,2548,476,MIDW
AECI,05/23/2025 4:00:00 PM,05/23/2025 9:00:00 PM,2110,2129,2525,396,396,,,,2129,2525,396,MIDW
AECI,05/23/2025 5:00:00 PM,05/23/2025 10:00:00 PM,2184,2188,2575,387,387,,,,2188,2575,387,MIDW
AECI,05/23/2025 6:00:00 PM,05/23/2025 11:00:00 PM,2234,2226,2612,386,386,,,,2226,2612,386,MIDW
AECI,05/23/2025 7:00:00 PM,05/24/2025 12:00:00 AM,2218,2208,2620,412,412,,,,2208,2620,412,MIDW
AECI,05/23/2025 8:00:00 PM,05/24/2025 1:00:00 AM,2133,2110,2499,389,389,,,,2110,2499,389,MIDW
AECI,05/23/2025 9:00:00 PM,05/24/2025 2:00:00 AM,2075,2075,2534,459,459,,,,2075,2534,459,MIDW
AECI,05/23/2025 10:00:00 PM,05/24/2025 3:00:00 AM,2028,2038,2447,409,409,,,,2038,2447,409,MIDW
AECI,05/23/2025 11:00:00 PM,05/24/2025 4:00:00 AM,1887,1881,2201,320,320,,,,1881,2201,320,MIDW
AECI,05/24/2025 12:00:00 AM,05/24/2025 5:00:00 AM,1703,1687,1932,245,245,,,,1687,1932,245,MIDW
AECI,05/24/2025 1:00:00 AM,05/24/2025 6:00:00 AM,1562,1569,1690,121,121,,,,1569,1690,121,MIDW
AECI,05/24/2025 2:00:00 AM,05/24/2025 7:00:00 AM,1473,1473,1655,182,182,,,,1473,1655,182,MIDW
AECI,05/24/2025 3:00:00 AM,05/24/2025 8:00:00 AM,1415,1431,1633,202,202,,,,1431,1633,202,MIDW
AECI,05/24/2025 4:00:00 AM,05/24/2025 9:00:00 AM,1392,1406,1633,227,227,,,,1406,1633,227,MIDW
AECI,05/24/2025 5:00:00 AM,05/24/2025 10:00:00 AM,1402,1410,1617,207,207,,,,1410,1617,207,MIDW
AECI,05/24/2025 6:00:00 AM,05/24/2025 11:00:00 AM,1444,1441,1598,157,157,,,,1441,1598,157,MIDW
AECI,05/24/2025 7:00:00 AM,05/24/2025 12:00:00 PM,1506,1470,1523,53,53,,,,1470,1523,53,MIDW
AECI,05/24/2025 8:00:00 AM,05/24/2025 1:00:00 PM,1625,1586,1556,-30,-30,,,,1586,1556,-30,MIDW
AECI,05/24/2025 9:00:00 AM,05/24/2025 2:00:00 PM,1762,1715,1785,70,70,,,,1715,1785,70,MIDW
AECI,05/24/2025 10:00:00 AM,05/24/2025 3:00:00 PM,1832,1805,2047,242,242,,,,1805,2047,242,MIDW
AECI,05/24/2025 11:00:00 AM,05/24/2025 4:00:00 PM,1848,1864,2139,275,275,,,,1864,2139,275,MIDW
AECI,05/24/2025 12:00:00 PM,05/24/2025 5:00:00 PM,1878,1877,2273,396,396,,,,1877,2273,396,MIDW
AECI,05/24/2025 1:00:00 PM,05/24/2025 6:00:00 PM,1902,1894,2303,409,409,,,,1894,2303,409,MIDW
AECI,05/24/2025 2:00:00 PM,05/24/2025 7:00:00 PM,1933,1935,2444,509,509,,,,1935,2444,509,MIDW
AECI,05/24/2025 3:00:00 PM,05/24/2025 8:00:00 PM,1976,1965,2426,461,461,,,,1965,2426,461,MIDW
AECI,05/24/2025 4:00:00 PM,05/24/2025 9:00:00 PM,2044,2048,2440,392,392,,,,2048,2440,392,MIDW
AECI,05/24/2025 5:00:00 PM,05/24/2025 10:00:00 PM,2121,2146,2478,332,332,,,,2146,2478,332,MIDW
AECI,05/24/2025 6:00:00 PM,05/24/2025 11:00:00 PM,2170,2206,2459,253,253,,,,2206,2459,253,MIDW
AECI,05/24/2025 7:00:00 PM,05/25/2025 12:00:00 AM,2178,2224,2407,183,183,,,,2224,2407,183,MIDW
AECI,05/24/2025 8:00:00 PM,05/25/2025 1:00:00 AM,2141,2150,2453,303,303,,,,2150,2453,303,MIDW
AECI,05/24/2025 9:00:00 PM,05/25/2025 2:00:00 AM,2119,2141,2580,439,439,,,,2141,2580,439,MIDW
AECI,05/24/2025 10:00:00 PM,05/25/2025 3:00:00 AM,2073,2100,2658,558,558,,,,2100,2658,558,MIDW
AECI,05/24/2025 11:00:00 PM,05/25/2025 4:00:00 AM,1933,1970,2435,465,465,,,,1970,2435,465,MIDW
AECI,05/25/2025 12:00:00 AM,05/25/2025 5:00:00 AM,1777,1763,2076,313,313,,,,1763,2076,313,MIDW
AECI,05/25/2025 1:00:00 AM,05/25/2025 6:00:00 AM,1594,1599,1718,119,119,,,,1599,1718,119,MIDW
AECI,05/25/2025 2:00:00 AM,05/25/2025 7:00:00 AM,1495,1486,1513,27,27,,,,1486,1513,27,MIDW
AECI,05/25/2025 3:00:00 AM,05/25/2025 8:00:00 AM,1445,1470,1366,-104,-104,,,,1470,1366,-104,MIDW
AECI,05/25/2025 4:00:00 AM,05/25/2025 9:00:00 AM,1419,1412,1410,-2,-2,,,,1412,1410,-2,MIDW
AECI,05/25/2025 5:00:00 AM,05/25/2025 10:00:00 AM,1426,1427,1505,78,78,,,,1427,1505,78,MIDW
AECI,05/25/2025 6:00:00 AM,05/25/2025 11:00:00 AM,1448,1458,1619,161,161,,,,1458,1619,161,MIDW
AECI,05/25/2025 7:00:00 AM,05/25/2025 12:00:00 PM,1501,1510,1557,47,47,,,,1510,1557,47,MIDW
AECI,05/25/2025 8:00:00 AM,05/25/2025 1:00:00 PM,1630,1623,1461,-162,-162,,,,1623,1461,-162,MIDW
AECI,05/25/2025 9:00:00 AM,05/25/2025 2:00:00 PM,1780,1761,1521,-240,-240,,,,1761,1521,-240,MIDW
AECI,05/25/2025 10:00:00 AM,05/25/2025 3:00:00 PM,1883,1908,1600,-308,-308,,,,1908,1600,-308,MIDW
AECI,05/25/2025 11:00:00 AM,05/25/2025 4:00:00 PM,1907,1966,1687,-279,-279,,,,1966,1687,-279,MIDW
AECI,05/25/2025 12:00:00 PM,05/25/2025 5:00:00 PM,1965,1992,1889,-103,-103,,,,1992,1889,-103,MIDW
AECI,05/25/2025 1:00:00 PM,05/25/2025 6:00:00 PM,2003,2003,2116,113,113,,,,2003,2116,113,MIDW
AECI,05/25/2025 2:00:00 PM,05/25/2025 7:00:00 PM,2029,1982,2230,248,248,,,,1982,2230,248,MIDW
AECI,05/25/2025 3:00:00 PM,05/25/2025 8:00:00 PM,2041,1992,2131,139,139,,,,1992,2131,139,MIDW
AECI,05/25/2025 4:00:00 PM,05/25/2025 9:00:00 PM,2047,2010,2293,283,283,,,,2010,2293,283,MIDW
AECI,05/25/2025 5:00:00 PM,05/25/2025 10:00:00 PM,2089,2053,2527,474,474,,,,2053,2527,474,MIDW
AECI,05/25/2025 6:00:00 PM,05/25/2025 11:00:00 PM,2150,2087,2596,509,509,,,,2087,2596,509,MIDW
AECI,05/25/2025 7:00:00 PM,05/26/2025 12:00:00 AM,2141,2065,2467,402,402,,,,2065,2467,402,MIDW
AECI,05/25/2025 8:00:00 PM,05/26/2025 1:00:00 AM,2057,2008,2506,498,498,,,,2008,2506,498,MIDW
AECI,05/25/2025 9:00:00 PM,05/26/2025 2:00:00 AM,2026,2009,2506,497,497,,,,2009,2506,497,MIDW
AECI,05/25/2025 10:00:00 PM,05/26/2025 3:00:00 AM,1917,1959,2417,458,458,,,,1959,2417,458,MIDW
AECI,05/25/2025 11:00:00 PM,05/26/2025 4:00:00 AM,1762,1862,2119,257,257,,,,1862,2119,257,MIDW
AECI,05/26/2025 12:00:00 AM,05/26/2025 5:00:00 AM,1608,1686,1847,161,161,,,,1686,1847,161,MIDW
AECI,05/26/2025 1:00:00 AM,05/26/2025 6:00:00 AM,1543,1554,1727,173,173,,,,1554,1727,173,MIDW
AECI,05/26/2025 2:00:00 AM,05/26/2025 7:00:00 AM,1466,1489,1675,186,186,,,,1489,1675,186,MIDW
AECI,05/26/2025 3:00:00 AM,05/26/2025 8:00:00 AM,1420,1434,1674,240,240,,,,1434,1674,240,MIDW
AECI,05/26/2025 4:00:00 AM,05/26/2025 9:00:00 AM,1382,1412,1573,161,161,,,,1412,1573,161,MIDW
AECI,05/26/2025 5:00:00 AM,05/26/2025 10:00:00 AM,1396,1403,1556,153,153,,,,1403,1556,153,MIDW
AECI,05/26/2025 6:00:00 AM,05/26/2025 11:00:00 AM,1442,1424,1582,158,158,,,,1424,1582,158,MIDW
AECI,05/26/2025 7:00:00 AM,05/26/2025 12:00:00 PM,1504,1489,1641,152,152,,,,1489,1641,152,MIDW
AECI,05/26/2025 8:00:00 AM,05/26/2025 1:00:00 PM,1624,1598,1665,67,67,,,,1598,1665,67,MIDW
AECI,05/26/2025 9:00:00 AM,05/26/2025 2:00:00 PM,1753,1761,1830,69,69,,,,1761,1830,69,MIDW
AECI,05/26/2025 10:00:00 AM,05/26/2025 3:00:00 PM,1823,1893,2236,343,343,,,,1893,2236,343,MIDW
AECI,05/26/2025 11:00:00 AM,05/26/2025 4:00:00 PM,1857,1996,2361,365,365,,,,1996,2361,365,MIDW
AECI,05/26/2025 12:00:00 PM,05/26/2025 5:00:00 PM,1922,2041,2386,345,345,,,,2041,2386,345,MIDW
AECI,05/26/2025 1:00:00 PM,05/26/2025 6:00:00 PM,1996,2022,2360,338,338,,,,2022,2360,338,MIDW
AECI,05/26/2025 2:00:00 PM,05/26/2025 7:00:00 PM,2020,2010,2318,308,308,,,,2010,2318,308,MIDW
AECI,05/26/2025 3:00:00 PM,05/26/2025 8:00:00 PM,1990,2006,2286,280,280,,,,2006,2286,280,MIDW
AECI,05/26/2025 4:00:00 PM,05/26/2025 9:00:00 PM,2014,1992,2359,367,367,,,,1992,2359,367,MIDW
AECI,05/26/2025 5:00:00 PM,05/26/2025 10:00:00 PM,2048,2013,2331,318,318,,,,2013,2331,318,MIDW
AECI,05/26/2025 6:00:00 PM,05/26/2025 11:00:00 PM,2124,2025,2207,182,182,,,,2025,2207,182,MIDW
AECI,05/26/2025 7:00:00 PM,05/27/2025 12:00:00 AM,2113,2036,2292,256,256,,,,2036,2292,256,MIDW
AECI,05/26/2025 8:00:00 PM,05/27/2025 1:00:00 AM,2016,2002,2390,388,388,,,,2002,2390,388,MIDW
AECI,05/26/2025 9:00:00 PM,05/27/2025 2:00:00 AM,2010,2006,2532,526,526,,,,2006,2532,526,MIDW
AECI,05/26/2025 10:00:00 PM,05/27/2025 3:00:00 AM,1898,1939,2494,555,555,,,,1939,2494,555,MIDW
AECI,05/26/2025 11:00:00 PM,05/27/2025 4:00:00 AM,1766,1778,2565,787,787,,,,1778,2565,787,MIDW
AECI,05/27/2025 12:00:00 AM,05/27/2025 5:00:00 AM,1598,1610,2355,745,745,,,,1610,2355,745,MIDW
AECI,05/27/2025 1:00:00 AM,05/27/2025 6:00:00 AM,1513,1480,2291,811,811,,,,1480,2291,811,MIDW
AECI,05/27/2025 2:00:00 AM,05/27/2025 7:00:00 AM,1429,1431,2116,685,685,,,,1431,2116,685,MIDW
AECI,05/27/2025 3:00:00 AM,05/27/2025 8:00:00 AM,1379,1406,2151,745,745,,,,1406,2151,745,MIDW
AECI,05/27/2025 4:00:00 AM,05/27/2025 9:00:00 AM,1366,1375,2116,741,741,,,,1375,2116,741,MIDW
AECI,05/27/2025 5:00:00 AM,05/27/2025 10:00:00 AM,1410,1408,2251,843,843,,,,1408,2251,843,MIDW
AECI,05/27/2025 6:00:00 AM,05/27/2025 11:00:00 AM,1511,1505,2386,881,881,,,,1505,2386,881,MIDW
AECI,05/27/2025 7:00:00 AM,05/27/2025 12:00:00 PM,1654,1663,2477,814,814,,,,1663,2477,814,MIDW
AECI,05/27/2025 8:00:00 AM,05/27/2025 1:00:00 PM,1743,1757,2538,781,781,,,,1757,2538,781,MIDW
AECI,05/27/2025 9:00:00 AM,05/27/2025 2:00:00 PM,1769,1827,2543,716,716,,,,1827,2543,716,MIDW
AECI,05/27/2025 10:00:00 AM,05/27/2025 3:00:00 PM,1822,1848,2585,737,737,,,,1848,2585,737,MIDW
AECI,05/27/2025 11:00:00 AM,05/27/2025 4:00:00 PM,1866,1892,2551,659,659,,,,1892,2551,659,MIDW
AECI,05/27/2025 12:00:00 PM,05/27/2025 5:00:00 PM,1870,1899,2522,623,623,,,,1899,2522,623,MIDW
AECI,05/27/2025 1:00:00 PM,05/27/2025 6:00:00 PM,1880,1918,2523,605,605,,,,1918,2523,605,MIDW
