"Balancing Authority","Directly Interconnected Balancing Authority","Interchange (MW)","UTC Time at End of Hour","DIBA_Region"
DOPD,CHPD,-295,05/27/2025 6:00:00 AM,NW
DOPD,BPAT,296,05/27/2025 7:00:00 AM,NW
DOPD,CHPD,-167,05/27/2025 7:00:00 AM,NW
DOPD,BPAT,331,05/27/2025 8:00:00 AM,NW
DOPD,CHPD,-128,05/27/2025 8:00:00 AM,NW
DOPD,BPAT,223,05/27/2025 9:00:00 AM,NW
DOPD,CHPD,46,05/27/2025 9:00:00 AM,NW
DOPD,BPAT,342,05/27/2025 10:00:00 AM,NW
DOPD,CHPD,-19,05/27/2025 10:00:00 AM,NW
DOPD,BPAT,313,05/27/2025 11:00:00 AM,NW
DOPD,CHPD,40,05/27/2025 11:00:00 AM,NW
DOPD,BPAT,383,05/27/2025 12:00:00 PM,NW
DOPD,CHPD,-19,05/27/2025 12:00:00 PM,NW
DOPD,BPAT,456,05/27/2025 1:00:00 PM,NW
DOPD,CHPD,-146,05/27/2025 1:00:00 PM,NW
DOPD,BPAT,333,05/27/2025 2:00:00 PM,NW
DOPD,CHPD,-155,05/27/2025 2:00:00 PM,NW
DOPD,BPAT,278,05/27/2025 3:00:00 PM,NW
DOPD,CHPD,-102,05/27/2025 3:00:00 PM,NW
DOPD,BPAT,279,05/27/2025 4:00:00 PM,NW
DOPD,CHPD,-45,05/27/2025 4:00:00 PM,NW
DOPD,BPAT,212,05/27/2025 5:00:00 PM,NW
DOPD,CHPD,-1,05/27/2025 5:00:00 PM,NW
DOPD,BPAT,181,05/27/2025 6:00:00 PM,NW
DOPD,CHPD,-55,05/27/2025 6:00:00 PM,NW
DOPD,BPAT,188,05/27/2025 7:00:00 PM,NW
DOPD,CHPD,-25,05/27/2025 7:00:00 PM,NW
DOPD,BPAT,180,05/27/2025 8:00:00 PM,NW
DOPD,CHPD,-12,05/27/2025 8:00:00 PM,NW
DOPD,BPAT,164,05/27/2025 9:00:00 PM,NW
DOPD,CHPD,-7,05/27/2025 9:00:00 PM,NW
DOPD,BPAT,116,05/27/2025 10:00:00 PM,NW
DOPD,CHPD,-34,05/27/2025 10:00:00 PM,NW
DOPD,BPAT,176,05/27/2025 11:00:00 PM,NW
DOPD,CHPD,24,05/27/2025 11:00:00 PM,NW
DOPD,BPAT,314,05/28/2025 12:00:00 AM,NW
DOPD,CHPD,60,05/28/2025 12:00:00 AM,NW
DOPD,BPAT,280,05/28/2025 1:00:00 AM,NW
DOPD,CHPD,148,05/28/2025 1:00:00 AM,NW
DOPD,BPAT,437,05/28/2025 2:00:00 AM,NW
DOPD,CHPD,-15,05/28/2025 2:00:00 AM,NW
DOPD,BPAT,528,05/28/2025 3:00:00 AM,NW
DOPD,CHPD,-62,05/28/2025 3:00:00 AM,NW
DOPD,BPAT,535,05/28/2025 4:00:00 AM,NW
DOPD,CHPD,-87,05/28/2025 4:00:00 AM,NW
DOPD,BPAT,537,05/28/2025 5:00:00 AM,NW
DOPD,CHPD,-89,05/28/2025 5:00:00 AM,NW
DOPD,BPAT,533,05/28/2025 6:00:00 AM,NW
DOPD,CHPD,-80,05/28/2025 6:00:00 AM,NW
DOPD,BPAT,557,05/28/2025 7:00:00 AM,NW
DOPD,CHPD,-116,05/28/2025 7:00:00 AM,NW
DOPD,BPAT,589,05/28/2025 8:00:00 AM,NW
DOPD,CHPD,-162,05/28/2025 8:00:00 AM,NW
DOPD,BPAT,605,05/28/2025 9:00:00 AM,NW
DOPD,CHPD,-186,05/28/2025 9:00:00 AM,NW
DOPD,BPAT,482,05/28/2025 10:00:00 AM,NW
DOPD,CHPD,-241,05/28/2025 10:00:00 AM,NW
DOPD,BPAT,436,05/28/2025 11:00:00 AM,NW
DOPD,CHPD,-235,05/28/2025 11:00:00 AM,NW
DOPD,BPAT,336,05/28/2025 12:00:00 PM,NW
DOPD,CHPD,-135,05/28/2025 12:00:00 PM,NW
DOPD,BPAT,287,05/28/2025 1:00:00 PM,NW
DOPD,CHPD,-82,05/28/2025 1:00:00 PM,NW
DOPD,BPAT,277,05/28/2025 2:00:00 PM,NW
DOPD,CHPD,-136,05/28/2025 2:00:00 PM,NW
DOPD,BPAT,258,05/28/2025 3:00:00 PM,NW
DOPD,CHPD,-118,05/28/2025 3:00:00 PM,NW
DOPD,BPAT,208,05/28/2025 4:00:00 PM,NW
DOPD,CHPD,-14,05/28/2025 4:00:00 PM,NW
DOPD,BPAT,93,05/28/2025 5:00:00 PM,NW
DOPD,CHPD,71,05/28/2025 5:00:00 PM,NW
DOPD,BPAT,268,05/28/2025 6:00:00 PM,NW
DOPD,CHPD,-121,05/28/2025 6:00:00 PM,NW
DOPD,BPAT,258,05/28/2025 7:00:00 PM,NW
DOPD,CHPD,-110,05/28/2025 7:00:00 PM,NW
DOPD,BPAT,186,05/28/2025 8:00:00 PM,NW
DOPD,CHPD,-25,05/28/2025 8:00:00 PM,NW
DOPD,BPAT,144,05/28/2025 9:00:00 PM,NW
DOPD,CHPD,46,05/28/2025 9:00:00 PM,NW
DOPD,BPAT,267,05/28/2025 10:00:00 PM,NW
DOPD,CHPD,54,05/28/2025 10:00:00 PM,NW
DOPD,BPAT,323,05/28/2025 11:00:00 PM,NW
DOPD,CHPD,-14,05/28/2025 11:00:00 PM,NW
DOPD,BPAT,284,05/29/2025 12:00:00 AM,NW
DOPD,CHPD,-55,05/29/2025 12:00:00 AM,NW
DOPD,BPAT,350,05/29/2025 1:00:00 AM,NW
DOPD,CHPD,-52,05/29/2025 1:00:00 AM,NW
DOPD,BPAT,360,05/29/2025 2:00:00 AM,NW
DOPD,CHPD,6,05/29/2025 2:00:00 AM,NW
DOPD,BPAT,442,05/29/2025 3:00:00 AM,NW
DOPD,CHPD,-33,05/29/2025 3:00:00 AM,NW
DOPD,BPAT,458,05/29/2025 4:00:00 AM,NW
DOPD,CHPD,-100,05/29/2025 4:00:00 AM,NW
DOPD,BPAT,442,05/29/2025 5:00:00 AM,NW
DOPD,CHPD,-151,05/29/2025 5:00:00 AM,NW
DOPD,BPAT,519,05/29/2025 6:00:00 AM,NW
DOPD,CHPD,-104,05/29/2025 6:00:00 AM,NW
DOPD,BPAT,507,05/29/2025 7:00:00 AM,NW
DOPD,CHPD,-146,05/29/2025 7:00:00 AM,NW
DOPD,BPAT,449,05/29/2025 8:00:00 AM,NW
DOPD,CHPD,-175,05/29/2025 8:00:00 AM,NW
DOPD,BPAT,402,05/29/2025 9:00:00 AM,NW
DOPD,CHPD,-148,05/29/2025 9:00:00 AM,NW
DOPD,BPAT,391,05/29/2025 10:00:00 AM,NW
DOPD,CHPD,-97,05/29/2025 10:00:00 AM,NW
DOPD,BPAT,278,05/29/2025 11:00:00 AM,NW
DOPD,CHPD,-15,05/29/2025 11:00:00 AM,NW
DOPD,BPAT,185,05/29/2025 12:00:00 PM,NW
DOPD,CHPD,13,05/29/2025 12:00:00 PM,NW
DOPD,BPAT,240,05/29/2025 1:00:00 PM,NW
DOPD,CHPD,-78,05/29/2025 1:00:00 PM,NW
DOPD,BPAT,380,05/29/2025 2:00:00 PM,NW
DOPD,CHPD,-95,05/29/2025 2:00:00 PM,NW
DOPD,BPAT,359,05/29/2025 3:00:00 PM,NW
DOPD,CHPD,-56,05/29/2025 3:00:00 PM,NW
DOPD,BPAT,281,05/29/2025 4:00:00 PM,NW
DOPD,CHPD,-117,05/29/2025 4:00:00 PM,NW
DOPD,BPAT,199,05/29/2025 5:00:00 PM,NW
DOPD,CHPD,-143,05/29/2025 5:00:00 PM,NW
DOPD,BPAT,222,05/29/2025 6:00:00 PM,NW
DOPD,CHPD,-212,05/29/2025 6:00:00 PM,NW
DOPD,BPAT,162,05/29/2025 7:00:00 PM,NW
DOPD,CHPD,-146,05/29/2025 7:00:00 PM,NW
DOPD,BPAT,28,05/29/2025 8:00:00 PM,NW
DOPD,CHPD,-4,05/29/2025 8:00:00 PM,NW
DOPD,BPAT,-72,05/29/2025 9:00:00 PM,NW
DOPD,CHPD,45,05/29/2025 9:00:00 PM,NW
DOPD,BPAT,10,05/29/2025 10:00:00 PM,NW
DOPD,CHPD,-38,05/29/2025 10:00:00 PM,NW
DOPD,BPAT,64,05/29/2025 11:00:00 PM,NW
DOPD,CHPD,32,05/29/2025 11:00:00 PM,NW
DOPD,BPAT,11,05/30/2025 12:00:00 AM,NW
DOPD,CHPD,63,05/30/2025 12:00:00 AM,NW
DOPD,BPAT,119,05/30/2025 1:00:00 AM,NW
DOPD,CHPD,3,05/30/2025 1:00:00 AM,NW
DOPD,BPAT,248,05/30/2025 2:00:00 AM,NW
DOPD,CHPD,-78,05/30/2025 2:00:00 AM,NW
DOPD,BPAT,238,05/30/2025 3:00:00 AM,NW
DOPD,CHPD,-27,05/30/2025 3:00:00 AM,NW
DOPD,BPAT,219,05/30/2025 4:00:00 AM,NW
DOPD,CHPD,-12,05/30/2025 4:00:00 AM,NW
DOPD,BPAT,208,05/30/2025 5:00:00 AM,NW
DOPD,CHPD,-18,05/30/2025 5:00:00 AM,NW
DOPD,BPAT,304,05/30/2025 6:00:00 AM,NW
DOPD,CHPD,-12,05/30/2025 6:00:00 AM,NW
DOPD,BPAT,312,05/30/2025 7:00:00 AM,NW
DOPD,CHPD,18,05/30/2025 7:00:00 AM,NW
DOPD,BPAT,354,05/30/2025 8:00:00 AM,NW
DOPD,CHPD,-17,05/30/2025 8:00:00 AM,NW
DOPD,BPAT,354,05/30/2025 9:00:00 AM,NW
DOPD,CHPD,32,05/30/2025 9:00:00 AM,NW
DOPD,BPAT,403,05/30/2025 10:00:00 AM,NW
DOPD,CHPD,-5,05/30/2025 10:00:00 AM,NW
DOPD,BPAT,449,05/30/2025 11:00:00 AM,NW
DOPD,CHPD,-6,05/30/2025 11:00:00 AM,NW
DOPD,BPAT,384,05/30/2025 12:00:00 PM,NW
DOPD,CHPD,-45,05/30/2025 12:00:00 PM,NW
DOPD,BPAT,524,05/30/2025 1:00:00 PM,NW
DOPD,CHPD,-154,05/30/2025 1:00:00 PM,NW
DOPD,BPAT,429,05/30/2025 2:00:00 PM,NW
DOPD,CHPD,-127,05/30/2025 2:00:00 PM,NW
DOPD,BPAT,437,05/30/2025 3:00:00 PM,NW
DOPD,CHPD,-109,05/30/2025 3:00:00 PM,NW
DOPD,BPAT,357,05/30/2025 4:00:00 PM,NW
DOPD,CHPD,12,05/30/2025 4:00:00 PM,NW
DOPD,BPAT,360,05/30/2025 5:00:00 PM,NW
DOPD,CHPD,-26,05/30/2025 5:00:00 PM,NW
DOPD,BPAT,357,05/30/2025 6:00:00 PM,NW
DOPD,CHPD,-148,05/30/2025 6:00:00 PM,NW
DOPD,BPAT,382,05/30/2025 7:00:00 PM,NW
DOPD,CHPD,-150,05/30/2025 7:00:00 PM,NW
DOPD,BPAT,331,05/30/2025 8:00:00 PM,NW
DOPD,CHPD,-70,05/30/2025 8:00:00 PM,NW
DOPD,BPAT,325,05/30/2025 9:00:00 PM,NW
DOPD,CHPD,-8,05/30/2025 9:00:00 PM,NW
DOPD,BPAT,436,05/30/2025 10:00:00 PM,NW
DOPD,CHPD,-16,05/30/2025 10:00:00 PM,NW
DOPD,BPAT,503,05/30/2025 11:00:00 PM,NW
DOPD,CHPD,-80,05/30/2025 11:00:00 PM,NW
DOPD,BPAT,488,05/31/2025 12:00:00 AM,NW
DOPD,CHPD,-115,05/31/2025 12:00:00 AM,NW
DOPD,BPAT,519,05/31/2025 1:00:00 AM,NW
DOPD,CHPD,-130,05/31/2025 1:00:00 AM,NW
DOPD,BPAT,580,05/31/2025 2:00:00 AM,NW
DOPD,CHPD,-175,05/31/2025 2:00:00 AM,NW
DOPD,BPAT,593,05/31/2025 3:00:00 AM,NW
DOPD,CHPD,-212,05/31/2025 3:00:00 AM,NW
DOPD,BPAT,610,05/31/2025 4:00:00 AM,NW
DOPD,CHPD,-206,05/31/2025 4:00:00 AM,NW
DOPD,BPAT,613,05/31/2025 5:00:00 AM,NW
DOPD,CHPD,-220,05/31/2025 5:00:00 AM,NW
DOPD,BPAT,591,05/31/2025 6:00:00 AM,NW
DOPD,CHPD,-207,05/31/2025 6:00:00 AM,NW
DOPD,BPAT,636,05/31/2025 7:00:00 AM,NW
DOPD,CHPD,-233,05/31/2025 7:00:00 AM,NW
DOPD,BPAT,609,05/31/2025 8:00:00 AM,NW
DOPD,CHPD,-272,05/31/2025 8:00:00 AM,NW
DOPD,BPAT,569,05/31/2025 9:00:00 AM,NW
DOPD,CHPD,-333,05/31/2025 9:00:00 AM,NW
DOPD,BPAT,546,05/31/2025 10:00:00 AM,NW
DOPD,CHPD,-331,05/31/2025 10:00:00 AM,NW
DOPD,BPAT,541,05/31/2025 11:00:00 AM,NW
DOPD,CHPD,-290,05/31/2025 11:00:00 AM,NW
DOPD,BPAT,450,05/31/2025 12:00:00 PM,NW
DOPD,CHPD,-230,05/31/2025 12:00:00 PM,NW
DOPD,BPAT,466,05/31/2025 1:00:00 PM,NW
DOPD,CHPD,-218,05/31/2025 1:00:00 PM,NW
DOPD,BPAT,461,05/31/2025 2:00:00 PM,NW
DOPD,CHPD,-174,05/31/2025 2:00:00 PM,NW
DOPD,BPAT,372,05/31/2025 3:00:00 PM,NW
DOPD,CHPD,-155,05/31/2025 3:00:00 PM,NW
DOPD,BPAT,327,05/31/2025 4:00:00 PM,NW
DOPD,CHPD,-154,05/31/2025 4:00:00 PM,NW
DOPD,BPAT,256,05/31/2025 5:00:00 PM,NW
DOPD,CHPD,-66,05/31/2025 5:00:00 PM,NW
DOPD,BPAT,152,05/31/2025 6:00:00 PM,NW
DOPD,CHPD,-98,05/31/2025 6:00:00 PM,NW
DOPD,BPAT,111,05/31/2025 7:00:00 PM,NW
DOPD,CHPD,21,05/31/2025 7:00:00 PM,NW
DOPD,BPAT,141,05/31/2025 8:00:00 PM,NW
DOPD,CHPD,22,05/31/2025 8:00:00 PM,NW
DOPD,BPAT,140,05/31/2025 9:00:00 PM,NW
DOPD,CHPD,55,05/31/2025 9:00:00 PM,NW
DOPD,BPAT,160,05/31/2025 10:00:00 PM,NW
DOPD,CHPD,50,05/31/2025 10:00:00 PM,NW
DOPD,BPAT,134,05/31/2025 11:00:00 PM,NW
DOPD,CHPD,1,05/31/2025 11:00:00 PM,NW
DOPD,BPAT,372,06/01/2025 12:00:00 AM,NW
DOPD,CHPD,-172,06/01/2025 12:00:00 AM,NW
DOPD,BPAT,371,06/01/2025 1:00:00 AM,NW
DOPD,CHPD,-213,06/01/2025 1:00:00 AM,NW
DOPD,BPAT,448,06/01/2025 2:00:00 AM,NW
DOPD,CHPD,-229,06/01/2025 2:00:00 AM,NW
DOPD,BPAT,476,06/01/2025 3:00:00 AM,NW
DOPD,CHPD,-248,06/01/2025 3:00:00 AM,NW
DOPD,BPAT,522,06/01/2025 4:00:00 AM,NW
DOPD,CHPD,-201,06/01/2025 4:00:00 AM,NW
DOPD,BPAT,507,06/01/2025 5:00:00 AM,NW
DOPD,CHPD,-189,06/01/2025 5:00:00 AM,NW
DOPD,BPAT,469,06/01/2025 6:00:00 AM,NW
DOPD,CHPD,-148,06/01/2025 6:00:00 AM,NW
DOPD,BPAT,548,06/01/2025 7:00:00 AM,NW
DOPD,CHPD,-177,06/01/2025 7:00:00 AM,NW
DOPD,BPAT,497,06/01/2025 8:00:00 AM,NW
DOPD,CHPD,-116,06/01/2025 8:00:00 AM,NW
DOPD,BPAT,457,06/01/2025 9:00:00 AM,NW
DOPD,CHPD,-65,06/01/2025 9:00:00 AM,NW
DOPD,BPAT,436,06/01/2025 10:00:00 AM,NW
DOPD,CHPD,-60,06/01/2025 10:00:00 AM,NW
DOPD,BPAT,497,06/01/2025 11:00:00 AM,NW
DOPD,CHPD,-110,06/01/2025 11:00:00 AM,NW
DOPD,BPAT,547,06/01/2025 12:00:00 PM,NW
DOPD,CHPD,-168,06/01/2025 12:00:00 PM,NW
DOPD,BPAT,652,06/01/2025 1:00:00 PM,NW
DOPD,CHPD,-285,06/01/2025 1:00:00 PM,NW
DOPD,BPAT,610,06/01/2025 2:00:00 PM,NW
DOPD,CHPD,-272,06/01/2025 2:00:00 PM,NW
DOPD,BPAT,462,06/01/2025 3:00:00 PM,NW
DOPD,CHPD,-131,06/01/2025 3:00:00 PM,NW
DOPD,BPAT,427,06/01/2025 4:00:00 PM,NW
DOPD,CHPD,-99,06/01/2025 4:00:00 PM,NW
DOPD,BPAT,407,06/01/2025 5:00:00 PM,NW
DOPD,CHPD,-83,06/01/2025 5:00:00 PM,NW
DOPD,BPAT,427,06/01/2025 6:00:00 PM,NW
DOPD,CHPD,-140,06/01/2025 6:00:00 PM,NW
DOPD,BPAT,480,06/01/2025 7:00:00 PM,NW
DOPD,CHPD,-208,06/01/2025 7:00:00 PM,NW
DOPD,BPAT,392,06/01/2025 8:00:00 PM,NW
DOPD,CHPD,-138,06/01/2025 8:00:00 PM,NW
DOPD,BPAT,365,06/01/2025 9:00:00 PM,NW
DOPD,CHPD,-37,06/01/2025 9:00:00 PM,NW
DOPD,BPAT,423,06/01/2025 10:00:00 PM,NW
DOPD,CHPD,-38,06/01/2025 10:00:00 PM,NW
DOPD,BPAT,467,06/01/2025 11:00:00 PM,NW
DOPD,CHPD,-42,06/01/2025 11:00:00 PM,NW
DOPD,BPAT,520,06/02/2025 12:00:00 AM,NW
DOPD,CHPD,-140,06/02/2025 12:00:00 AM,NW
DOPD,BPAT,531,06/02/2025 1:00:00 AM,NW
DOPD,CHPD,-257,06/02/2025 1:00:00 AM,NW
DOPD,BPAT,531,06/02/2025 2:00:00 AM,NW
DOPD,CHPD,-283,06/02/2025 2:00:00 AM,NW
DOPD,BPAT,551,06/02/2025 3:00:00 AM,NW
DOPD,CHPD,-286,06/02/2025 3:00:00 AM,NW
DOPD,BPAT,636,06/02/2025 4:00:00 AM,NW
DOPD,CHPD,-233,06/02/2025 4:00:00 AM,NW
DOPD,BPAT,538,06/02/2025 5:00:00 AM,NW
DOPD,CHPD,-180,06/02/2025 5:00:00 AM,NW
DOPD,BPAT,609,06/02/2025 6:00:00 AM,NW
DOPD,CHPD,-165,06/02/2025 6:00:00 AM,NW
DOPD,BPAT,624,06/02/2025 7:00:00 AM,NW
DOPD,CHPD,-165,06/02/2025 7:00:00 AM,NW
DOPD,BPAT,573,06/02/2025 8:00:00 AM,NW
DOPD,CHPD,-180,06/02/2025 8:00:00 AM,NW
DOPD,BPAT,657,06/02/2025 9:00:00 AM,NW
DOPD,CHPD,-195,06/02/2025 9:00:00 AM,NW
DOPD,BPAT,568,06/02/2025 10:00:00 AM,NW
DOPD,CHPD,-180,06/02/2025 10:00:00 AM,NW
DOPD,BPAT,714,06/02/2025 11:00:00 AM,NW
DOPD,CHPD,-236,06/02/2025 11:00:00 AM,NW
DOPD,BPAT,741,06/02/2025 12:00:00 PM,NW
DOPD,CHPD,-250,06/02/2025 12:00:00 PM,NW
DOPD,BPAT,734,06/02/2025 1:00:00 PM,NW
DOPD,CHPD,-248,06/02/2025 1:00:00 PM,NW
DOPD,BPAT,689,06/02/2025 2:00:00 PM,NW
DOPD,CHPD,-252,06/02/2025 2:00:00 PM,NW
DOPD,BPAT,663,06/02/2025 3:00:00 PM,NW
DOPD,CHPD,-249,06/02/2025 3:00:00 PM,NW
DOPD,BPAT,546,06/02/2025 4:00:00 PM,NW
DOPD,CHPD,-296,06/02/2025 4:00:00 PM,NW
DOPD,BPAT,581,06/02/2025 5:00:00 PM,NW
DOPD,CHPD,-270,06/02/2025 5:00:00 PM,NW
DOPD,BPAT,391,06/02/2025 6:00:00 PM,NW
DOPD,CHPD,-129,06/02/2025 6:00:00 PM,NW
DOPD,BPAT,457,06/02/2025 7:00:00 PM,NW
DOPD,CHPD,-181,06/02/2025 7:00:00 PM,NW
DOPD,BPAT,418,06/02/2025 8:00:00 PM,NW
DOPD,CHPD,-135,06/02/2025 8:00:00 PM,NW
DOPD,BPAT,391,06/02/2025 9:00:00 PM,NW
DOPD,CHPD,-124,06/02/2025 9:00:00 PM,NW
DOPD,BPAT,327,06/02/2025 10:00:00 PM,NW
DOPD,CHPD,-61,06/02/2025 10:00:00 PM,NW
DOPD,BPAT,390,06/02/2025 11:00:00 PM,NW
DOPD,CHPD,-78,06/02/2025 11:00:00 PM,NW
DOPD,BPAT,418,06/03/2025 12:00:00 AM,NW
DOPD,CHPD,-80,06/03/2025 12:00:00 AM,NW
DOPD,BPAT,424,06/03/2025 1:00:00 AM,NW
DOPD,CHPD,-29,06/03/2025 1:00:00 AM,NW
DOPD,BPAT,583,06/03/2025 2:00:00 AM,NW
DOPD,CHPD,-203,06/03/2025 2:00:00 AM,NW
DOPD,BPAT,585,06/03/2025 3:00:00 AM,NW
DOPD,CHPD,-196,06/03/2025 3:00:00 AM,NW
DOPD,BPAT,622,06/03/2025 4:00:00 AM,NW
DOPD,CHPD,-180,06/03/2025 4:00:00 AM,NW
DOPD,BPAT,648,06/03/2025 5:00:00 AM,NW
DOPD,CHPD,-192,06/03/2025 5:00:00 AM,NW
DOPD,BPAT,633,06/03/2025 6:00:00 AM,NW
DOPD,CHPD,-181,06/03/2025 6:00:00 AM,NW
DOPD,BPAT,646,06/03/2025 7:00:00 AM,NW
DOPD,CHPD,-181,06/03/2025 7:00:00 AM,NW
DOPD,BPAT,703,06/03/2025 8:00:00 AM,NW
DOPD,CHPD,-217,06/03/2025 8:00:00 AM,NW
DOPD,BPAT,586,06/03/2025 9:00:00 AM,NW
DOPD,CHPD,-104,06/03/2025 9:00:00 AM,NW
DOPD,BPAT,653,06/03/2025 10:00:00 AM,NW
DOPD,CHPD,-172,06/03/2025 10:00:00 AM,NW
DOPD,BPAT,687,06/03/2025 11:00:00 AM,NW
DOPD,CHPD,-230,06/03/2025 11:00:00 AM,NW
DOPD,BPAT,687,06/03/2025 12:00:00 PM,NW
DOPD,CHPD,-251,06/03/2025 12:00:00 PM,NW
DOPD,BPAT,659,06/03/2025 1:00:00 PM,NW
DOPD,CHPD,-251,06/03/2025 1:00:00 PM,NW
DOPD,BPAT,634,06/03/2025 2:00:00 PM,NW
DOPD,CHPD,-249,06/03/2025 2:00:00 PM,NW
DOPD,BPAT,621,06/03/2025 3:00:00 PM,NW
DOPD,CHPD,-242,06/03/2025 3:00:00 PM,NW
DOPD,BPAT,649,06/03/2025 4:00:00 PM,NW
DOPD,CHPD,-292,06/03/2025 4:00:00 PM,NW
DOPD,BPAT,576,06/03/2025 5:00:00 PM,NW
DOPD,CHPD,-193,06/03/2025 5:00:00 PM,NW
DOPD,BPAT,576,06/03/2025 6:00:00 PM,NW
DOPD,CHPD,-185,06/03/2025 6:00:00 PM,NW
DOPD,BPAT,573,06/03/2025 7:00:00 PM,NW
DOPD,CHPD,-217,06/03/2025 7:00:00 PM,NW
DOPD,BPAT,640,06/03/2025 8:00:00 PM,NW
DOPD,CHPD,-266,06/03/2025 8:00:00 PM,NW
DOPD,BPAT,605,06/03/2025 9:00:00 PM,NW
DOPD,CHPD,-208,06/03/2025 9:00:00 PM,NW
DOPD,BPAT,507,06/03/2025 10:00:00 PM,NW
DOPD,CHPD,-104,06/03/2025 10:00:00 PM,NW
DOPD,BPAT,534,06/03/2025 11:00:00 PM,NW
DOPD,CHPD,-156,06/03/2025 11:00:00 PM,NW
DOPD,BPAT,633,06/04/2025 12:00:00 AM,NW
DOPD,CHPD,-290,06/04/2025 12:00:00 AM,NW
DOPD,BPAT,710,06/04/2025 1:00:00 AM,NW
DOPD,CHPD,-374,06/04/2025 1:00:00 AM,NW
DOPD,BPAT,713,06/04/2025 2:00:00 AM,NW
DOPD,CHPD,-364,06/04/2025 2:00:00 AM,NW
DOPD,BPAT,719,06/04/2025 3:00:00 AM,NW
DOPD,CHPD,-367,06/04/2025 3:00:00 AM,NW
DOPD,BPAT,713,06/04/2025 4:00:00 AM,NW
DOPD,CHPD,-391,06/04/2025 4:00:00 AM,NW
DOPD,BPAT,683,06/04/2025 5:00:00 AM,NW
DOPD,CHPD,-402,06/04/2025 5:00:00 AM,NW
DOPD,BPAT,693,06/04/2025 6:00:00 AM,NW
DOPD,CHPD,-405,06/04/2025 6:00:00 AM,NW
DOPD,BPAT,701,06/04/2025 7:00:00 AM,NW
DOPD,CHPD,-384,06/04/2025 7:00:00 AM,NW
DOPD,BPAT,620,06/04/2025 8:00:00 AM,NW
DOPD,CHPD,-301,06/04/2025 8:00:00 AM,NW
DOPD,BPAT,511,06/04/2025 9:00:00 AM,NW
DOPD,CHPD,-191,06/04/2025 9:00:00 AM,NW
DOPD,BPAT,372,06/04/2025 10:00:00 AM,NW
DOPD,CHPD,-153,06/04/2025 10:00:00 AM,NW
DOPD,BPAT,353,06/04/2025 11:00:00 AM,NW
DOPD,CHPD,-154,06/04/2025 11:00:00 AM,NW
DOPD,BPAT,433,06/04/2025 12:00:00 PM,NW
DOPD,CHPD,-218,06/04/2025 12:00:00 PM,NW
DOPD,BPAT,450,06/04/2025 1:00:00 PM,NW
DOPD,CHPD,-247,06/04/2025 1:00:00 PM,NW
DOPD,BPAT,461,06/04/2025 2:00:00 PM,NW
DOPD,CHPD,-216,06/04/2025 2:00:00 PM,NW
DOPD,BPAT,430,06/04/2025 3:00:00 PM,NW
DOPD,CHPD,-248,06/04/2025 3:00:00 PM,NW
DOPD,BPAT,206,06/04/2025 4:00:00 PM,NW
DOPD,CHPD,-43,06/04/2025 4:00:00 PM,NW
DOPD,BPAT,235,06/04/2025 5:00:00 PM,NW
DOPD,CHPD,-32,06/04/2025 5:00:00 PM,NW
DOPD,BPAT,221,06/04/2025 6:00:00 PM,NW
DOPD,CHPD,-27,06/04/2025 6:00:00 PM,NW
DOPD,BPAT,332,06/04/2025 7:00:00 PM,NW
DOPD,CHPD,-61,06/04/2025 7:00:00 PM,NW
DOPD,BPAT,322,06/04/2025 8:00:00 PM,NW
DOPD,CHPD,-22,06/04/2025 8:00:00 PM,NW
DOPD,BPAT,350,06/04/2025 9:00:00 PM,NW
DOPD,CHPD,-73,06/04/2025 9:00:00 PM,NW
DOPD,BPAT,328,06/04/2025 10:00:00 PM,NW
DOPD,CHPD,-54,06/04/2025 10:00:00 PM,NW
DOPD,BPAT,321,06/04/2025 11:00:00 PM,NW
DOPD,CHPD,-78,06/04/2025 11:00:00 PM,NW
DOPD,BPAT,513,06/05/2025 12:00:00 AM,NW
DOPD,CHPD,-258,06/05/2025 12:00:00 AM,NW
DOPD,BPAT,518,06/05/2025 1:00:00 AM,NW
DOPD,CHPD,-333,06/05/2025 1:00:00 AM,NW
DOPD,BPAT,576,06/05/2025 2:00:00 AM,NW
DOPD,CHPD,-341,06/05/2025 2:00:00 AM,NW
DOPD,BPAT,521,06/05/2025 3:00:00 AM,NW
DOPD,CHPD,-265,06/05/2025 3:00:00 AM,NW
DOPD,BPAT,527,06/05/2025 4:00:00 AM,NW
DOPD,CHPD,-242,06/05/2025 4:00:00 AM,NW
DOPD,BPAT,551,06/05/2025 5:00:00 AM,NW
DOPD,CHPD,-243,06/05/2025 5:00:00 AM,NW
DOPD,BPAT,591,06/05/2025 6:00:00 AM,NW
DOPD,CHPD,-204,06/05/2025 6:00:00 AM,NW
DOPD,BPAT,628,06/05/2025 7:00:00 AM,NW
DOPD,CHPD,-222,06/05/2025 7:00:00 AM,NW
DOPD,BPAT,544,06/05/2025 8:00:00 AM,NW
DOPD,CHPD,-142,06/05/2025 8:00:00 AM,NW
DOPD,BPAT,486,06/05/2025 9:00:00 AM,NW
DOPD,CHPD,-253,06/05/2025 9:00:00 AM,NW
DOPD,BPAT,522,06/05/2025 10:00:00 AM,NW
DOPD,CHPD,-326,06/05/2025 10:00:00 AM,NW
DOPD,BPAT,515,06/05/2025 11:00:00 AM,NW
DOPD,CHPD,-327,06/05/2025 11:00:00 AM,NW
