"Balancing Authority","Directly Interconnected Balancing Authority","Interchange (MW)","UTC Time at End of Hour","DIBA_Region"
AECI,MISO,422,05/19/2025 10:00:00 PM,MIDW
AECI,SPA,-150,05/19/2025 10:00:00 PM,CENT
AECI,SWPP,-369,05/19/2025 10:00:00 PM,CENT
AECI,TVA,275,05/19/2025 10:00:00 PM,TEN
AECI,MISO,595,05/19/2025 11:00:00 PM,MIDW
AECI,SPA,-152,05/19/2025 11:00:00 PM,CENT
AECI,SWPP,-439,05/19/2025 11:00:00 PM,CENT
AECI,TVA,286,05/19/2025 11:00:00 PM,TEN
AECI,MISO,747,05/20/2025 12:00:00 AM,MIDW
AECI,SPA,-187,05/20/2025 12:00:00 AM,CENT
AECI,SWPP,-541,05/20/2025 12:00:00 AM,CENT
AECI,TVA,289,05/20/2025 12:00:00 AM,TEN
AECI,MISO,789,05/20/2025 1:00:00 AM,MIDW
AECI,SPA,-207,05/20/2025 1:00:00 AM,CENT
AECI,SWPP,-620,05/20/2025 1:00:00 AM,CENT
AECI,TVA,276,05/20/2025 1:00:00 AM,TEN
AECI,MISO,727,05/20/2025 2:00:00 AM,MIDW
AECI,SPA,-175,05/20/2025 2:00:00 AM,CENT
AECI,SWPP,-539,05/20/2025 2:00:00 AM,CENT
AECI,TVA,265,05/20/2025 2:00:00 AM,TEN
AECI,MISO,592,05/20/2025 3:00:00 AM,MIDW
AECI,SPA,41,05/20/2025 3:00:00 AM,CENT
AECI,SWPP,-529,05/20/2025 3:00:00 AM,CENT
AECI,TVA,256,05/20/2025 3:00:00 AM,TEN
AECI,MISO,457,05/20/2025 4:00:00 AM,MIDW
AECI,SPA,177,05/20/2025 4:00:00 AM,CENT
AECI,SWPP,-499,05/20/2025 4:00:00 AM,CENT
AECI,TVA,251,05/20/2025 4:00:00 AM,TEN
AECI,MISO,332,05/20/2025 5:00:00 AM,MIDW
AECI,SPA,300,05/20/2025 5:00:00 AM,CENT
AECI,SWPP,-690,05/20/2025 5:00:00 AM,CENT
AECI,TVA,248,05/20/2025 5:00:00 AM,TEN
AECI,MISO,344,05/20/2025 6:00:00 AM,MIDW
AECI,SPA,225,05/20/2025 6:00:00 AM,CENT
AECI,SWPP,-782,05/20/2025 6:00:00 AM,CENT
AECI,TVA,202,05/20/2025 6:00:00 AM,TEN
AECI,MISO,466,05/20/2025 7:00:00 AM,MIDW
AECI,SPA,241,05/20/2025 7:00:00 AM,CENT
AECI,SWPP,-877,05/20/2025 7:00:00 AM,CENT
AECI,TVA,193,05/20/2025 7:00:00 AM,TEN
AECI,MISO,595,05/20/2025 8:00:00 AM,MIDW
AECI,SPA,199,05/20/2025 8:00:00 AM,CENT
AECI,SWPP,-907,05/20/2025 8:00:00 AM,CENT
AECI,TVA,199,05/20/2025 8:00:00 AM,TEN
AECI,MISO,571,05/20/2025 9:00:00 AM,MIDW
AECI,SPA,171,05/20/2025 9:00:00 AM,CENT
AECI,SWPP,-826,05/20/2025 9:00:00 AM,CENT
AECI,TVA,182,05/20/2025 9:00:00 AM,TEN
AECI,MISO,630,05/20/2025 10:00:00 AM,MIDW
AECI,SPA,112,05/20/2025 10:00:00 AM,CENT
AECI,SWPP,-834,05/20/2025 10:00:00 AM,CENT
AECI,TVA,198,05/20/2025 10:00:00 AM,TEN
AECI,MISO,668,05/20/2025 11:00:00 AM,MIDW
AECI,SPA,76,05/20/2025 11:00:00 AM,CENT
AECI,SWPP,-661,05/20/2025 11:00:00 AM,CENT
AECI,TVA,208,05/20/2025 11:00:00 AM,TEN
AECI,MISO,750,05/20/2025 12:00:00 PM,MIDW
AECI,SPA,-10,05/20/2025 12:00:00 PM,CENT
AECI,SWPP,-603,05/20/2025 12:00:00 PM,CENT
AECI,TVA,218,05/20/2025 12:00:00 PM,TEN
AECI,MISO,716,05/20/2025 1:00:00 PM,MIDW
AECI,SPA,-109,05/20/2025 1:00:00 PM,CENT
AECI,SWPP,-353,05/20/2025 1:00:00 PM,CENT
AECI,TVA,208,05/20/2025 1:00:00 PM,TEN
AECI,MISO,880,05/20/2025 2:00:00 PM,MIDW
AECI,SPA,-130,05/20/2025 2:00:00 PM,CENT
AECI,SWPP,-287,05/20/2025 2:00:00 PM,CENT
AECI,TVA,224,05/20/2025 2:00:00 PM,TEN
AECI,MISO,863,05/20/2025 3:00:00 PM,MIDW
AECI,SPA,-48,05/20/2025 3:00:00 PM,CENT
AECI,SWPP,-210,05/20/2025 3:00:00 PM,CENT
AECI,TVA,246,05/20/2025 3:00:00 PM,TEN
AECI,MISO,695,05/20/2025 4:00:00 PM,MIDW
AECI,SPA,-24,05/20/2025 4:00:00 PM,CENT
AECI,SWPP,-38,05/20/2025 4:00:00 PM,CENT
AECI,TVA,231,05/20/2025 4:00:00 PM,TEN
AECI,MISO,548,05/20/2025 5:00:00 PM,MIDW
AECI,SPA,15,05/20/2025 5:00:00 PM,CENT
AECI,SWPP,229,05/20/2025 5:00:00 PM,CENT
AECI,TVA,209,05/20/2025 5:00:00 PM,TEN
AECI,MISO,515,05/20/2025 6:00:00 PM,MIDW
AECI,SPA,78,05/20/2025 6:00:00 PM,CENT
AECI,SWPP,246,05/20/2025 6:00:00 PM,CENT
AECI,TVA,214,05/20/2025 6:00:00 PM,TEN
AECI,MISO,577,05/20/2025 7:00:00 PM,MIDW
AECI,SPA,137,05/20/2025 7:00:00 PM,CENT
AECI,SWPP,41,05/20/2025 7:00:00 PM,CENT
AECI,TVA,245,05/20/2025 7:00:00 PM,TEN
AECI,MISO,627,05/20/2025 8:00:00 PM,MIDW
AECI,SPA,154,05/20/2025 8:00:00 PM,CENT
AECI,SWPP,-61,05/20/2025 8:00:00 PM,CENT
AECI,TVA,239,05/20/2025 8:00:00 PM,TEN
AECI,MISO,481,05/20/2025 9:00:00 PM,MIDW
AECI,SPA,177,05/20/2025 9:00:00 PM,CENT
AECI,SWPP,-115,05/20/2025 9:00:00 PM,CENT
AECI,TVA,249,05/20/2025 9:00:00 PM,TEN
AECI,MISO,392,05/20/2025 10:00:00 PM,MIDW
AECI,SPA,140,05/20/2025 10:00:00 PM,CENT
AECI,SWPP,-64,05/20/2025 10:00:00 PM,CENT
AECI,TVA,234,05/20/2025 10:00:00 PM,TEN
AECI,MISO,488,05/20/2025 11:00:00 PM,MIDW
AECI,SPA,26,05/20/2025 11:00:00 PM,CENT
AECI,SWPP,-168,05/20/2025 11:00:00 PM,CENT
AECI,TVA,208,05/20/2025 11:00:00 PM,TEN
AECI,MISO,452,05/21/2025 12:00:00 AM,MIDW
AECI,SPA,-62,05/21/2025 12:00:00 AM,CENT
AECI,SWPP,60,05/21/2025 12:00:00 AM,CENT
AECI,TVA,211,05/21/2025 12:00:00 AM,TEN
AECI,MISO,524,05/21/2025 1:00:00 AM,MIDW
AECI,SPA,-124,05/21/2025 1:00:00 AM,CENT
AECI,SWPP,110,05/21/2025 1:00:00 AM,CENT
AECI,TVA,206,05/21/2025 1:00:00 AM,TEN
AECI,MISO,525,05/21/2025 2:00:00 AM,MIDW
AECI,SPA,-161,05/21/2025 2:00:00 AM,CENT
AECI,SWPP,237,05/21/2025 2:00:00 AM,CENT
AECI,TVA,191,05/21/2025 2:00:00 AM,TEN
AECI,MISO,539,05/21/2025 3:00:00 AM,MIDW
AECI,SPA,-100,05/21/2025 3:00:00 AM,CENT
AECI,SWPP,178,05/21/2025 3:00:00 AM,CENT
AECI,TVA,189,05/21/2025 3:00:00 AM,TEN
AECI,MISO,628,05/21/2025 4:00:00 AM,MIDW
AECI,SPA,-77,05/21/2025 4:00:00 AM,CENT
AECI,SWPP,152,05/21/2025 4:00:00 AM,CENT
AECI,TVA,178,05/21/2025 4:00:00 AM,TEN
AECI,MISO,859,05/21/2025 5:00:00 AM,MIDW
AECI,SPA,-100,05/21/2025 5:00:00 AM,CENT
AECI,SWPP,76,05/21/2025 5:00:00 AM,CENT
AECI,TVA,178,05/21/2025 5:00:00 AM,TEN
AECI,MISO,815,05/21/2025 6:00:00 AM,MIDW
AECI,SPA,-69,05/21/2025 6:00:00 AM,CENT
AECI,SWPP,29,05/21/2025 6:00:00 AM,CENT
AECI,TVA,161,05/21/2025 6:00:00 AM,TEN
AECI,MISO,825,05/21/2025 7:00:00 AM,MIDW
AECI,SPA,-73,05/21/2025 7:00:00 AM,CENT
AECI,SWPP,-2,05/21/2025 7:00:00 AM,CENT
AECI,TVA,155,05/21/2025 7:00:00 AM,TEN
AECI,MISO,790,05/21/2025 8:00:00 AM,MIDW
AECI,SPA,-32,05/21/2025 8:00:00 AM,CENT
AECI,SWPP,-38,05/21/2025 8:00:00 AM,CENT
AECI,TVA,149,05/21/2025 8:00:00 AM,TEN
AECI,MISO,777,05/21/2025 9:00:00 AM,MIDW
AECI,SPA,-24,05/21/2025 9:00:00 AM,CENT
AECI,SWPP,-87,05/21/2025 9:00:00 AM,CENT
AECI,TVA,156,05/21/2025 9:00:00 AM,TEN
AECI,MISO,763,05/21/2025 10:00:00 AM,MIDW
AECI,SPA,-54,05/21/2025 10:00:00 AM,CENT
AECI,SWPP,-133,05/21/2025 10:00:00 AM,CENT
AECI,TVA,166,05/21/2025 10:00:00 AM,TEN
AECI,MISO,738,05/21/2025 11:00:00 AM,MIDW
AECI,SPA,-141,05/21/2025 11:00:00 AM,CENT
AECI,SWPP,-93,05/21/2025 11:00:00 AM,CENT
AECI,TVA,166,05/21/2025 11:00:00 AM,TEN
AECI,MISO,836,05/21/2025 12:00:00 PM,MIDW
AECI,SPA,-209,05/21/2025 12:00:00 PM,CENT
AECI,SWPP,-21,05/21/2025 12:00:00 PM,CENT
AECI,TVA,169,05/21/2025 12:00:00 PM,TEN
AECI,MISO,863,05/21/2025 1:00:00 PM,MIDW
AECI,SPA,-182,05/21/2025 1:00:00 PM,CENT
