pl_name,hostname,pl_letter,sy_pnum,soltype,default_flag,pl_refname,pl_pubdate,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,disc_year,discoverymethod,sy_dist
"Kepler-163 c","Kepler-163","c",2,"Published Confirmed",0,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",21.34736120000,2.40000000,0.41000000,-0.20000000,0,,,,,,2014,"Transit",689.81400000
"Kepler-163 c","Kepler-163","c",2,"Published Confirmed",0,"<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>","2016-07",21.34735877000,,,,,,,,,,2014,"Transit",689.81400000
"Kepler-163 c","Kepler-163","c",2,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.72500000,0.19200000,-0.41300000,0,,,,,,2014,"Transit",689.81400000
"Kepler-163 c","Kepler-163","c",2,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",21.34739581780,,,,,,,,,,2014,"Transit",689.81400000
"Kepler-1630 b","Kepler-1630","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",509.99740200000,2.19000000,0.20000000,-0.10000000,0,,,,,,2016,"Transit",331.21300000
"Kepler-1631 b","Kepler-1631","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",4.09513932000,1.35000000,0.20000000,-0.15000000,0,,,,,,2016,"Transit",1305.99000000
"Kepler-1631 b","Kepler-1631","b",1,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,1.89700000,0.16800000,-0.56900000,0,,,,,,2016,"Transit",1305.99000000
"Kepler-1632 b","Kepler-1632","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",448.30355800000,2.47000000,0.84000000,-0.35000000,0,,,,,,2016,"Transit",716.76000000
"Kepler-1632 b","Kepler-1632","b",1,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.82900000,0.22700000,-0.19600000,0,,,,,,2016,"Transit",716.76000000
"Kepler-1633 b","Kepler-1633","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",186.40427100000,1.58000000,0.65000000,-0.25000000,0,,,,,,2016,"Transit",1114.91000000
"Kepler-1633 b","Kepler-1633","b",1,"Published Confirmed",0,"<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>","2016-07",186.40772738000,,,,,,,,,,2016,"Transit",1114.91000000
"Kepler-1633 b","Kepler-1633","b",1,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.62100000,0.37400000,-0.41300000,0,,,,,,2016,"Transit",1114.91000000
"Kepler-1633 b","Kepler-1633","b",1,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",186.40424173300,,,,,,,,,,2016,"Transit",1114.91000000
"Kepler-1634 b","Kepler-1634","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",374.87623900000,3.19000000,0.52000000,-0.60000000,0,,,,,,2016,"Transit",617.33900000
"Kepler-1634 b","Kepler-1634","b",1,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.56800000,0.63600000,-0.23100000,0,,,,,,2016,"Transit",617.33900000
"Kepler-1635 b","Kepler-1635","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",469.63111000000,3.64000000,0.33000000,-0.67000000,0,,,,,,2016,"Transit",1069.45000000
"Kepler-1635 b","Kepler-1635","b",1,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,3.66200000,0.23100000,-0.70100000,0,,,,,,2016,"Transit",1069.45000000
"Kepler-1636 b","Kepler-1636","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",425.47785000000,3.23000000,0.76000000,-0.35000000,0,,,,,,2016,"Transit",1947.54000000
